per_gop,per_dem,per_third_party,County_with_State,Date,Series_Complete_Pop_Pct,Metro_status,PCTPOVALL_2021,MEDHHINC_2021,WA,BA,IA,AAPI,MEDIAN_AGE_TOT,through_hs,college_up,target
60.9,37.8,1.2,"Geauga County, OH",05/10/2023,63.4,1,6,91701,96.6,1.4,0.2,0.7,44.8,34.93,65.07,0
58.7,39.3,2.0,"Greene County, OH",05/10/2023,65.4,1,10,79035,85.9,7.1,0.3,3.3,39.0,28.72,71.28,0
73.5,25.1,1.3,"Guernsey County, OH",05/10/2023,45.6,0,15,50599,95.2,1.6,0.4,0.5,42.0,57.09,42.91,0
41.3,57.1,1.6,"Hamilton County, OH",05/10/2023,65.6,1,15,64087,67.2,26.6,0.3,3.1,37.1,33.96,66.04,0
67.9,30.3,1.8,"Hancock County, OH",05/10/2023,52.5,0,10,65866,93.1,2.3,0.4,2.1,39.5,42.42,57.58,0
75.1,23.1,1.8,"Hardin County, OH",05/10/2023,39.7,0,16,53940,95.5,1.3,0.4,0.9,35.5,59.19,40.81,0
75.7,23.1,1.2,"Harrison County, OH",05/10/2023,44.2,0,14,50691,95.1,2.0,0.3,0.3,45.0,61.35,38.65,0
71.0,27.5,1.5,"Henry County, OH",05/10/2023,55.4,0,8,69634,96.5,0.9,0.5,0.6,41.6,51.18,48.82,0
79.7,19.3,1.0,"Highland County, OH",05/10/2023,39.1,0,13,56772,95.6,1.6,0.4,0.5,41.3,58.74,41.26,0
70.4,28.1,1.5,"Hocking County, OH",05/10/2023,50.2,1,16,55814,96.7,0.8,0.4,0.5,43.2,54.19,45.81,0
83.4,15.4,1.2,"Holmes County, OH",05/10/2023,18.6,0,10,70027,98.4,0.4,0.1,0.3,32.4,75.46,24.54,0
69.7,28.5,1.7,"Huron County, OH",05/10/2023,49.3,0,11,62153,95.9,1.5,0.3,0.5,40.4,56.43,43.57,0
76.4,22.4,1.2,"Jackson County, OH",05/10/2023,49.2,0,17,48745,96.5,0.7,0.5,0.5,40.0,58.98,41.02,0
68.4,30.0,1.5,"Jefferson County, OH",05/10/2023,51.8,1,17,50442,91.0,5.4,0.3,0.6,44.0,51.04,48.96,0
71.2,27.4,1.5,"Knox County, OH",05/10/2023,44.7,0,12,61642,96.5,1.0,0.3,0.7,39.5,48.0,52.0,0
56.1,42.5,1.3,"Lake County, OH",05/10/2023,67.6,1,7,74208,90.6,5.6,0.2,1.6,44.1,38.28,61.72,0
72.2,26.6,1.2,"Lawrence County, OH",05/10/2023,53.0,1,17,49916,95.2,2.2,0.3,0.5,42.4,55.63,44.37,0
63.2,35.1,1.7,"Licking County, OH",05/10/2023,56.6,1,11,72936,88.5,4.6,0.4,3.9,40.1,40.57,59.43,0
